command	count	first_seen_utc	last_seen_utc	workdir_count	source_log_count	examples
bash -lc python3 -m compileall src/agilab/apps/link_sim_project/src/link_sim/link_sim_args.py	2	2025-11-10T16:01:46.792000+00:00	2025-11-10T16:17:01.016000+00:00	1	1	bash -lc python3 -m compileall src/agilab/apps/link_sim_project/src/link_sim/link_sim_args.py
bash -lc rg -n "AGI_SHARE_DIR" -n src/agilab/core/agi-env/src/agi_env/agi_env.py	2	2025-11-07T08:43:27.201000+00:00	2025-11-13T07:16:14.353000+00:00	1	2	bash -lc rg -n "AGI_SHARE_DIR" -n src/agilab/core/agi-env/src/agi_env/agi_env.py
bash -lc rg -n "Agent" docs/source	2	2025-11-13T17:31:14.471000+00:00	2025-11-13T17:33:07.041000+00:00	1	1	bash -lc rg -n "Agent" docs/source
bash -lc rg -n "AgiEnv" src/agilab/apps/flight_trajectory_project/src/flight_trajectory_worker/flight_trajectory_worker.py	2	2025-11-12T10:36:53.900000+00:00	2025-11-12T10:36:57.825000+00:00	1	1	bash -lc rg -n "AgiEnv" src/agilab/apps/flight_trajectory_project/src/flight_trajectory_worker/flight_trajectory_worker.py
bash -lc rg -n "Data directory" src/agilab/resources/help/execute_help.html	2	2025-11-10T09:56:46.636000+00:00	2025-11-10T10:01:36.865000+00:00	1	1	bash -lc rg -n "Data directory" src/agilab/resources/help/execute_help.html
bash -lc rg -n "Inputs" "src/agilab/pages/▶️ EXECUTE.py"	2	2025-11-13T08:37:40.214000+00:00	2025-11-13T08:37:57.992000+00:00	1	1	bash -lc rg -n "Inputs" "src/agilab/pages/▶️ EXECUTE.py"
bash -lc rg -n "Path\(.*data_in" -g '*.py' src/agilab/apps	2	2025-11-07T09:21:08.286000+00:00	2025-11-07T09:24:16.456000+00:00	1	1	bash -lc rg -n "Path\(.*data_in" -g '*.py' src/agilab/apps
bash -lc rg -n "Traceback" /tmp/remote_log_111.txt	2	2025-11-07T17:30:58.540000+00:00	2025-11-07T17:31:11.673000+00:00	1	1	bash -lc rg -n "Traceback" /tmp/remote_log_111.txt
bash -lc rg -n "_TIMEOUT" src/agilab/core/agi-cluster/src/agi_cluster/agi_distributor/agi_distributor.py	2	2025-11-10T13:14:56.681000+00:00	2025-11-13T12:15:25.059000+00:00	1	2	bash -lc rg -n "_TIMEOUT" src/agilab/core/agi-cluster/src/agi_cluster/agi_distributor/agi_distributor.py
bash -lc rg -n "_stop" src/agilab/core/agi-cluster/src/agi_cluster/agi_distributor/agi_distributor.py	2	2025-11-07T12:36:10.141000+00:00	2025-11-10T13:14:26.548000+00:00	1	2	bash -lc rg -n "_stop" src/agilab/core/agi-cluster/src/agi_cluster/agi_distributor/agi_distributor.py
bash -lc rg -n "agi_share_dir" -g '*.py'	2	2025-11-07T09:16:09.852000+00:00	2025-11-07T09:39:58.510000+00:00	1	1	bash -lc rg -n "agi_share_dir" -g '*.py'
bash -lc rg -n "class AgiEnv" -n src/agilab/core/agi-env/src/agi_env/agi_env.py	2	2025-11-11T12:48:26.692000+00:00	2025-11-13T12:15:52.821000+00:00	2	2	bash -lc rg -n "class AgiEnv" -n src/agilab/core/agi-env/src/agi_env/agi_env.py
bash -lc rg -n "class BaseWorker" -n	2	2025-11-07T09:03:32.033000+00:00	2025-11-12T09:05:43.209000+00:00	1	2	bash -lc rg -n "class BaseWorker" -n
bash -lc rg -n "class BaseWorker" -n src/agilab/core/agi-node/src/agi_node/agi_dispatcher/base_worker.py	2	2025-11-07T09:04:16.659000+00:00	2025-11-10T10:36:02.438000+00:00	1	2	bash -lc rg -n "class BaseWorker" -n src/agilab/core/agi-node/src/agi_node/agi_dispatcher/base_worker.py
bash -lc rg -n "class FlightArgs" -n src/agilab/apps/flight_project/src/flight/flight_args.py	2	2025-11-07T08:45:48.430000+00:00	2025-11-13T08:39:38.182000+00:00	1	2	bash -lc rg -n "class FlightArgs" -n src/agilab/apps/flight_project/src/flight/flight_args.py
bash -lc rg -n "data_out" src/agilab/apps/flight_project/src/app_args_form.py	2	2025-11-07T09:35:06.605000+00:00	2025-11-07T09:38:11.160000+00:00	1	1	bash -lc rg -n "data_out" src/agilab/apps/flight_project/src/app_args_form.py
bash -lc rg -n "data_rel" -n src/agilab/core/agi-env/src/agi_env/agi_env.py	2	2025-11-12T05:27:04.772000+00:00	2025-11-13T07:15:23.967000+00:00	1	2	bash -lc rg -n "data_rel" -n src/agilab/core/agi-env/src/agi_env/agi_env.py
bash -lc rg -n "def __init__" -n src/agilab/core/agi-env/src/agi_env/agi_env.py | head	2	2025-11-07T17:28:40.899000+00:00	2025-11-13T12:15:58.573000+00:00	1	2	bash -lc rg -n "def __init__" -n src/agilab/core/agi-env/src/agi_env/agi_env.py | head
bash -lc rg -n "def _stop" -n src/agilab/core/agi-cluster/src/agi_cluster/agi_distributor/agi_distributor.py	2	2025-11-07T12:35:58.773000+00:00	2025-11-08T10:25:28.792000+00:00	1	2	bash -lc rg -n "def _stop" -n src/agilab/core/agi-cluster/src/agi_cluster/agi_distributor/agi_distributor.py
bash -lc rg -n "def run" -n src/agilab/core/agi-cluster/src/agi_cluster/agi_distributor/agi_distributor.py	2	2025-11-10T10:35:07.902000+00:00	2025-11-10T15:12:41.905000+00:00	1	1	bash -lc rg -n "def run" -n src/agilab/core/agi-cluster/src/agi_cluster/agi_distributor/agi_distributor.py
bash -lc rg -n "def send_file" -n src/agilab/core/agi-cluster/src/agi_cluster/agi_distributor/agi_distributor.py	2	2025-11-08T10:14:08.362000+00:00	2025-11-13T12:18:49.397000+00:00	2	2	bash -lc rg -n "def send_file" -n src/agilab/core/agi-cluster/src/agi_cluster/agi_distributor/agi_distributor.py
bash -lc rg -n "getpass" src/agilab/apps/flight_legacy_project/src/flight_legacy_worker/flight_legacy_worker.py	2	2025-11-12T10:39:01.643000+00:00	2025-11-12T10:39:40.402000+00:00	2	1	bash -lc rg -n "getpass" src/agilab/apps/flight_legacy_project/src/flight_legacy_worker/flight_legacy_worker.py
bash -lc rg -n "log/execute" -n pycharm/setup_pycharm.py	2	2025-11-12T10:48:29.730000+00:00	2025-11-13T12:04:30.652000+00:00	2	2	bash -lc rg -n "log/execute" -n pycharm/setup_pycharm.py
bash -lc rg -n "normalize_data_uri" -n src	2	2025-11-07T09:11:11.814000+00:00	2025-11-12T10:53:03.989000+00:00	1	2	bash -lc rg -n "normalize_data_uri" -n src
bash -lc rg -n "normalize_path" src/agilab/apps/sat_trajectory_project/src/sat_trajectory_worker/sat_trajectory_worker.py	2	2025-11-12T10:37:29.689000+00:00	2025-11-12T10:37:48.423000+00:00	2	1	bash -lc rg -n "normalize_path" src/agilab/apps/sat_trajectory_project/src/sat_trajectory_worker/sat_trajectory_worker.py
bash -lc rg -n "perl" codex/codex_shell_summary.md	2	2025-11-14T09:37:17.211000+00:00	2025-11-14T09:53:18.817000+00:00	1	1	bash -lc rg -n "perl" codex/codex_shell_summary.md
bash -lc rg -n "self.target" src/agilab/core/agi-env/src/agi_env/agi_env.py	2	2025-11-10T18:09:05.006000+00:00	2025-11-11T12:48:15.534000+00:00	1	2	bash -lc rg -n "self.target" src/agilab/core/agi-env/src/agi_env/agi_env.py
bash -lc rg -n "self\.uv" -n src/agilab/core/agi-env/src/agi_env/agi_env.py	2	2025-11-07T17:32:43.380000+00:00	2025-11-13T12:16:04.313000+00:00	1	2	bash -lc rg -n "self\.uv" -n src/agilab/core/agi-env/src/agi_env/agi_env.py
bash -lc rg -n "shutil" src/agilab/apps/flight_legacy_project/src/flight_legacy_worker/flight_legacy_worker.py	2	2025-11-12T10:39:13.633000+00:00	2025-11-12T10:39:33.402000+00:00	2	1	bash -lc rg -n "shutil" src/agilab/apps/flight_legacy_project/src/flight_legacy_worker/flight_legacy_worker.py
bash -lc rg -n "shutil" src/agilab/apps/link_sim_project/src/link_sim_worker/link_sim_worker.py	2	2025-11-12T10:33:16.860000+00:00	2025-11-12T10:34:11.506000+00:00	1	1	bash -lc rg -n "shutil" src/agilab/apps/link_sim_project/src/link_sim_worker/link_sim_worker.py
bash -lc rg -n "shutil" src/agilab/apps/network_sim_project/src/network_sim_worker/network_sim_worker.py	2	2025-11-12T10:32:51.348000+00:00	2025-11-12T10:33:32.676000+00:00	1	1	bash -lc rg -n "shutil" src/agilab/apps/network_sim_project/src/network_sim_worker/network_sim_worker.py
bash -lc rg -n "subprocess" src/agilab/apps/flight_trajectory_project/src/flight_trajectory_worker/flight_trajectory_worker.py	2	2025-11-12T10:36:45.020000+00:00	2025-11-12T10:37:09.297000+00:00	1	1	bash -lc rg -n "subprocess" src/agilab/apps/flight_trajectory_project/src/flight_trajectory_worker/flight_trajectory_worker.py
bash -lc scp /tmp/.env.111 agi@192.168.20.111:~/.agilab/.env	2	2025-11-07T17:33:47.758000+00:00	2025-11-07T17:46:00.298000+00:00	1	1	bash -lc scp /tmp/.env.111 agi@192.168.20.111:~/.agilab/.env
bash -lc scp agi@192.168.20.111:~/.agilab/.env /tmp/.env.111	2	2025-11-07T17:33:34.894000+00:00	2025-11-07T17:45:50.524000+00:00	1	1	bash -lc scp agi@192.168.20.111:~/.agilab/.env /tmp/.env.111
bash -lc sed -n '1,120p' src/agilab/apps/flight_project/src/flight/flight_args.py	2	2025-11-07T08:45:50.831000+00:00	2025-11-10T16:25:09.729000+00:00	2	2	bash -lc sed -n '1,120p' src/agilab/apps/flight_project/src/flight/flight_args.py
bash -lc sed -n '1,120p' src/agilab/apps/mycode_project/src/mycode/mycode_args.py	2	2025-11-07T09:13:43.603000+00:00	2025-11-13T12:30:21.016000+00:00	1	2	bash -lc sed -n '1,120p' src/agilab/apps/mycode_project/src/mycode/mycode_args.py
bash -lc sed -n '1,120p' src/agilab/examples/link_sim/AGI_run_link_sim.py	2	2025-11-10T15:14:50.908000+00:00	2025-11-13T09:06:50.737000+00:00	2	2	bash -lc sed -n '1,120p' src/agilab/examples/link_sim/AGI_run_link_sim.py
bash -lc sed -n '1,160p' docs/source/license.rst	2	2025-11-14T08:08:07.894000+00:00	2025-11-14T08:13:06.299000+00:00	2	1	bash -lc sed -n '1,160p' docs/source/license.rst
bash -lc sed -n '1,160p' src/agilab/apps/link_sim_project/src/link_sim/link_sim_args.py	2	2025-11-13T08:50:03.768000+00:00	2025-11-13T12:46:18.784000+00:00	1	2	bash -lc sed -n '1,160p' src/agilab/apps/link_sim_project/src/link_sim/link_sim_args.py
bash -lc sed -n '1,160p' src/agilab/core/agi-env/src/agi_env/app_args.py	2	2025-11-10T10:29:55.748000+00:00	2025-11-13T08:40:37.897000+00:00	1	2	bash -lc sed -n '1,160p' src/agilab/core/agi-env/src/agi_env/app_args.py
bash -lc sed -n '1,160p' src/agilab/examples/flight/AGI_run_flight.py	2	2025-11-07T09:17:46.882000+00:00	2025-11-12T09:23:28.143000+00:00	1	2	bash -lc sed -n '1,160p' src/agilab/examples/flight/AGI_run_flight.py
bash -lc sed -n '1,160p' src/agilab/examples/flight_trajectory/AGI_install_flight_trajectory.py	2	2025-11-07T17:31:33.821000+00:00	2025-11-10T15:16:37.346000+00:00	1	2	bash -lc sed -n '1,160p' src/agilab/examples/flight_trajectory/AGI_install_flight_trajectory.py
bash -lc sed -n '1,160p' src/agilab/examples/flight_trajectory/AGI_run_flight_trajectory.py	2	2025-11-10T12:36:02.646000+00:00	2025-11-10T18:11:11.820000+00:00	1	2	bash -lc sed -n '1,160p' src/agilab/examples/flight_trajectory/AGI_run_flight_trajectory.py
bash -lc sed -n '1,200p' codex/codex_shell_summary.md	2	2025-11-14T09:21:59.694000+00:00	2025-11-14T09:22:07.501000+00:00	2	1	bash -lc sed -n '1,200p' codex/codex_shell_summary.md
bash -lc sed -n '1,200p' docs/source/index.rst	2	2025-11-13T16:14:15.238000+00:00	2025-11-13T16:40:06.637000+00:00	1	1	bash -lc sed -n '1,200p' docs/source/index.rst
bash -lc sed -n '1,200p' src/agilab/apps/network_sim_project/src/network_sim/network_sim.py	2	2025-11-07T09:20:22.152000+00:00	2025-11-12T10:52:20.688000+00:00	1	2	bash -lc sed -n '1,200p' src/agilab/apps/network_sim_project/src/network_sim/network_sim.py
bash -lc sed -n '1,200p' src/agilab/core/agi-node/src/agi_node/agi_dispatcher/base_worker.py	2	2025-11-07T09:03:53.689000+00:00	2025-11-12T09:05:45.560000+00:00	1	2	bash -lc sed -n '1,200p' src/agilab/core/agi-node/src/agi_node/agi_dispatcher/base_worker.py
bash -lc sed -n '1,200p' src/agilab/core/agi-node/src/agi_node/agi_dispatcher/post_install.py	2	2025-11-07T17:00:38.128000+00:00	2025-11-10T08:39:50.982000+00:00	1	2	bash -lc sed -n '1,200p' src/agilab/core/agi-node/src/agi_node/agi_dispatcher/post_install.py
bash -lc sed -n '1,200p' src/agilab/examples/flight/AGI_install_flight.py	2	2025-11-12T05:32:14.385000+00:00	2025-11-12T09:22:42.701000+00:00	1	2	bash -lc sed -n '1,200p' src/agilab/examples/flight/AGI_install_flight.py
bash -lc sed -n '1,200p' src/agilab/examples/link_sim/AGI_run_link_sim.py	2	2025-11-10T10:30:09.405000+00:00	2025-11-10T15:11:39.058000+00:00	1	1	bash -lc sed -n '1,200p' src/agilab/examples/link_sim/AGI_run_link_sim.py
bash -lc sed -n '1,220p' src/agilab/apps/flight_project/src/app_args_form.py	2	2025-11-10T09:56:40.665000+00:00	2025-11-13T08:38:19.415000+00:00	1	2	bash -lc sed -n '1,220p' src/agilab/apps/flight_project/src/app_args_form.py
bash -lc sed -n '1,40p' codex/export_codex_shell_stats.py	2	2025-11-14T09:57:19.239000+00:00	2025-11-14T09:58:18.832000+00:00	1	1	bash -lc sed -n '1,40p' codex/export_codex_shell_stats.py
bash -lc sed -n '1,40p' src/agilab/apps/sat_trajectory_project/src/sat_trajectory/sat_trajectory_args.py	2	2025-11-13T13:57:35.369000+00:00	2025-11-13T17:08:11.597000+00:00	1	1	bash -lc sed -n '1,40p' src/agilab/apps/sat_trajectory_project/src/sat_trajectory/sat_trajectory_args.py
bash -lc sed -n '1,80p' src/agilab/core/agi-cluster/src/agi_cluster/agi_distributor/agi_distributor.py	2	2025-11-10T18:21:25.693000+00:00	2025-11-12T13:56:44.969000+00:00	1	2	bash -lc sed -n '1,80p' src/agilab/core/agi-cluster/src/agi_cluster/agi_distributor/agi_distributor.py
bash -lc sed -n '360,520p' src/agilab/core/agi-env/src/agi_env/agi_env.py	2	2025-11-10T08:40:34.319000+00:00	2025-11-13T12:17:58.804000+00:00	1	2	bash -lc sed -n '360,520p' src/agilab/core/agi-env/src/agi_env/agi_env.py
bash -lc sed -n '400,520p' src/agilab/core/agi-env/src/agi_env/agi_env.py	2	2025-11-07T08:45:58.490000+00:00	2025-11-13T07:15:31.018000+00:00	1	2	bash -lc sed -n '400,520p' src/agilab/core/agi-env/src/agi_env/agi_env.py
bash -lc sed -n '60,90p' src/agilab/apps/flight_project/src/flight/flight.py	2	2025-11-07T09:34:52.764000+00:00	2025-11-07T09:36:25.469000+00:00	2	1	bash -lc sed -n '60,90p' src/agilab/apps/flight_project/src/flight/flight.py
bash -lc sed -n '600,720p' src/agilab/core/agi-env/src/agi_env/agi_env.py	2	2025-11-11T12:48:17.502000+00:00	2025-11-12T05:34:06.288000+00:00	1	2	bash -lc sed -n '600,720p' src/agilab/core/agi-env/src/agi_env/agi_env.py
bash -lc sed -n '600,760p' pycharm/setup_pycharm.py	2	2025-11-11T19:15:01.751000+00:00	2025-11-12T10:49:00.978000+00:00	1	2	bash -lc sed -n '600,760p' pycharm/setup_pycharm.py
bash -lc sed -n '780,860p' src/agilab/core/agi-env/src/agi_env/agi_env.py	2	2025-11-10T08:40:23.756000+00:00	2025-11-10T10:27:21.492000+00:00	1	2	bash -lc sed -n '780,860p' src/agilab/core/agi-env/src/agi_env/agi_env.py
bash -lc sed -n '80,200p' codex/codex_shell_summary.md	2	2025-11-14T09:31:21.098000+00:00	2025-11-14T09:33:16.272000+00:00	2	1	bash -lc sed -n '80,200p' codex/codex_shell_summary.md
bash -lc sed -n '800,940p' src/agilab/core/agi-env/src/agi_env/agi_env.py	2	2025-11-11T12:47:10.634000+00:00	2025-11-13T07:15:25.900000+00:00	1	2	bash -lc sed -n '800,940p' src/agilab/core/agi-env/src/agi_env/agi_env.py
bash -lc sed -n '860,910p' src/agilab/core/agi-env/src/agi_env/agi_env.py	2	2025-11-12T12:37:38.818000+00:00	2025-11-12T12:42:54.061000+00:00	1	1	bash -lc sed -n '860,910p' src/agilab/core/agi-env/src/agi_env/agi_env.py
bash -lc ssh -o StrictHostKeyChecking=no agi@192.168.20.130 'echo hi'	2	2025-11-07T16:56:00.295000+00:00	2025-11-07T16:56:53.366000+00:00	1	1	bash -lc ssh -o StrictHostKeyChecking=no agi@192.168.20.130 'echo hi'
bash -lc ssh agi@192.168.20.111 'export PATH="$HOME/.local/bin:$PATH"; cd ~/PycharmProjects/agilab && uv --quiet run python - <<"PY" import asyncio from pathlib import Path from agi_cluster.agi_distributor import AGI from agi_env import AgiEnv  async def main():     repo_root = Path.cwd()     apps_dir = str((repo_root / "src/agilab/apps").resolve())     env = AgiEnv(apps_dir=apps_dir, app="flight_trajectory_project", verbose=3)     try:         res = await AGI.install(env, modes_enabled=15, scheduler="192.168.20.111", workers={"192.168.20.130": 1})         print(res)     except Exception as exc:         import traceback         traceback.print_exc()         raise  asyncio.run(main()) PY' > /tmp/remote_log.txt && tail -n 200 /tmp/remote_log.txt	2	2025-11-07T17:28:16.603000+00:00	2025-11-07T17:30:44.756000+00:00	1	1	bash -lc ssh agi@192.168.20.111 'export PATH="$HOME/.local/bin:$PATH"; cd ~/PycharmProjects/agilab && uv --quiet run python - <<"PY" import asyncio from pathlib import Path from agi_cluster.agi_distributor import AGI from agi_env import AgiEnv  async def main():     repo_root = Path.cwd()     apps_dir = str((repo_root / "src/agilab/apps").resolve())     env = AgiEnv(apps_dir=apps_dir, app="flight_trajectory_project", verbose=3)     try:         res = await AGI.install(env, modes_enabled=15, scheduler="192.168.20.111", workers={"192.168.20.130": 1})         print(res)     except Exception as exc:         import traceback         traceback.print_exc()         raise  asyncio.run(main()) PY' > /tmp/remote_log.txt && tail -n 200 /tmp/remote_log.txt
bash -lc ssh agi@192.168.20.111 'export PATH="$HOME/.local/bin:$PATH"; cd ~/PycharmProjects/agilab && uv --quiet run python src/agilab/examples/flight_trajectory/AGI_install_flight_trajectory.py'	2	2025-11-07T17:26:11.972000+00:00	2025-11-07T17:29:33.544000+00:00	1	1	bash -lc ssh agi@192.168.20.111 'export PATH="$HOME/.local/bin:$PATH"; cd ~/PycharmProjects/agilab && uv --quiet run python src/agilab/examples/flight_trajectory/AGI_install_flight_trajectory.py'
bash -lc ssh agi@192.168.20.111 'hostname'	2	2025-11-07T17:03:33.264000+00:00	2025-11-07T17:03:55.421000+00:00	1	1	bash -lc ssh agi@192.168.20.111 'hostname'
bash -lc ssh agi@192.168.20.130 'cd /home/agi/wenv/flight_trajectory_worker && source .venv/bin/activate && python - <<"PY" from agi_env import AgiEnv from pathlib import Path import os app_arg = Path("flight_trajectory_worker") env = AgiEnv(apps_dir=str(app_arg.parent.resolve()), active_app=app_arg.name) archive_path = Path("/home/agi/wenv/flight_trajectory_worker/src/flight_trajectory_worker/dataset.7z") if not archive_path.exists():     print("missing archive")     raise SystemExit extract_to = "clustershare/flight_trajectory" home_abs = Path(env.home_abs) dest = home_abs / extract_to print('home_abs', home_abs) print('dest', dest) dest.parent.mkdir(parents=True, exist_ok=True) dataset = dest / "dataset" force_refresh = os.environ.get("AGILAB_FORCE_DATA_REFRESH", "0") not in {"0", "", "false", "False"} print('dataset exists?', dataset.exists()) print('force_refresh', force_refresh) PY'	2	2025-11-07T17:08:17.558000+00:00	2025-11-07T17:08:22.230000+00:00	1	1	bash -lc ssh agi@192.168.20.130 'cd /home/agi/wenv/flight_trajectory_worker && source .venv/bin/activate && python - <<"PY" from agi_env import AgiEnv from pathlib import Path import os app_arg = Path("flight_trajectory_worker") env = AgiEnv(apps_dir=str(app_arg.parent.resolve()), active_app=app_arg.name) archive_path = Path("/home/agi/wenv/flight_trajectory_worker/src/flight_trajectory_worker/dataset.7z") if not archive_path.exists():     print("missing archive")     raise SystemExit extract_to = "clustershare/flight_trajectory" home_abs = Path(env.home_abs) dest = home_abs / extract_to print('home_abs', home_abs) print('dest', dest) dest.parent.mkdir(parents=True, exist_ok=True) dataset = dest / "dataset" force_refresh = os.environ.get("AGILAB_FORCE_DATA_REFRESH", "0") not in {"0", "", "false", "False"} print('dataset exists?', dataset.exists()) print('force_refresh', force_refresh) PY'
bash -lc ssh agi@192.168.20.130 'cd /home/agi/wenv/flight_trajectory_worker && source .venv/bin/activate && python -m agi_node.agi_dispatcher.post_install flight_trajectory_worker clustershare/flight_trajectory'	2	2025-11-07T17:06:58.454000+00:00	2025-11-07T17:26:51.066000+00:00	1	1	bash -lc ssh agi@192.168.20.130 'cd /home/agi/wenv/flight_trajectory_worker && source .venv/bin/activate && python -m agi_node.agi_dispatcher.post_install flight_trajectory_worker clustershare/flight_trajectory'
bash -lc ssh-add -l	2	2025-11-07T16:56:56.797000+00:00	2025-11-08T09:06:10.521000+00:00	1	2	bash -lc ssh-add -l
bash -lc tail -n 120 /tmp/agi_run.log	2	2025-11-07T17:48:16.228000+00:00	2025-11-08T10:25:05.036000+00:00	2	2	bash -lc tail -n 120 /tmp/agi_run.log
bash -lc tail -n 40 /tmp/agi_run.log	2	2025-11-07T17:48:21.209000+00:00	2025-11-08T10:25:07.797000+00:00	1	2	bash -lc tail -n 40 /tmp/agi_run.log
bash -lc uv --preview-features extra-build-dependencies run python - <<'PY' import datetime from pathlib import Path from collections import Counter file = Path('/Users/agi/PycharmProjects/agilab/codex_shell_history.tsv') lines = file.read_text().splitlines() header,*rows = lines count = 0 per_day = Counter() top_cmds = Counter() first_ts = last_ts = None for line in rows:     if not line.strip():         continue     parts = line.split('\t')     if len(parts) < 4:         continue     ts, cmd, workdir, source = parts[0], parts[1], parts[2], parts[3]     count += 1     if ts:         dt = datetime.datetime.fromisoformat(ts.replace('Z','+00:00'))         if first_ts is None or dt < first_ts:             first_ts = dt         if last_ts is None or dt > last_ts:             last_ts = dt         per_day[dt.date()] += 1     top_cmds[cmd] += 1 print('count',count) print('first',first_ts) print('last',last_ts) print('unique days',len(per_day)) print('top days',per_day.most_common(5)) print('top commands',top_cmds.most_common(10)) PY	2	2025-11-13T10:08:32.784000+00:00	2025-11-13T10:08:48.226000+00:00	1	1	bash -lc uv --preview-features extra-build-dependencies run python - <<'PY' import datetime from pathlib import Path from collections import Counter file = Path('/Users/agi/PycharmProjects/agilab/codex_shell_history.tsv') lines = file.read_text().splitlines() header,*rows = lines count = 0 per_day = Counter() top_cmds = Counter() first_ts = last_ts = None for line in rows:     if not line.strip():         continue     parts = line.split('\t')     if len(parts) < 4:         continue     ts, cmd, workdir, source = parts[0], parts[1], parts[2], parts[3]     count += 1     if ts:         dt = datetime.datetime.fromisoformat(ts.replace('Z','+00:00'))         if first_ts is None or dt < first_ts:             first_ts = dt         if last_ts is None or dt > last_ts:             last_ts = dt         per_day[dt.date()] += 1     top_cmds[cmd] += 1 print('count',count) print('first',first_ts) print('last',last_ts) print('unique days',len(per_day)) print('top days',per_day.most_common(5)) print('top commands',top_cmds.most_common(10)) PY
bash -lc uv --preview-features extra-build-dependencies run python - <<'PY' import json from pathlib import Path from datetime import datetime root = Path('/Users/agi/.codex/sessions') out_path = Path('/Users/agi/PycharmProjects/agilab/codex_shell_history.tsv') records = [] for path in sorted(root.rglob('*.jsonl')):     with path.open() as f:         for line in f:             obj = json.loads(line)             if obj.get('type')=='response_item':                 payload = obj.get('payload',{})                 if payload.get('type')=='function_call' and payload.get('name')=='shell':                     args = json.loads(payload.get('arguments','{}') or '{}')                     cmd = args.get('command')                     workdir = args.get('workdir')                     timestamp = obj.get('timestamp')                     records.append((timestamp, path, cmd, workdir))  def parse_ts(ts:str):     if ts is None:         return datetime.min     if ts.endswith('Z'):         ts = ts[:-1] + '+00:00'     return datetime.fromisoformat(ts)  records.sort(key=lambda r: (parse_ts(r[0]), str(r[1]))) with out_path.open('w') as out:     out.write('timestamp_utc\tcommand\tworkdir\tsource_log\n')     for ts,path,cmd,workdir in records:         if isinstance(cmd,list):             cmd_str = ' '.join(cmd)         else:             cmd_str = str(cmd)         cmd_str = cmd_str.replace('\n',' ')         out.write(f"{ts}\t{cmd_str}\t{workdir}\t{path}\n") print(f"wrote {len(records)} commands to {out_path}") PY	2	2025-11-13T10:08:09.843000+00:00	2025-11-13T10:08:43.989000+00:00	1	1	bash -lc uv --preview-features extra-build-dependencies run python - <<'PY' import json from pathlib import Path from datetime import datetime root = Path('/Users/agi/.codex/sessions') out_path = Path('/Users/agi/PycharmProjects/agilab/codex_shell_history.tsv') records = [] for path in sorted(root.rglob('*.jsonl')):     with path.open() as f:         for line in f:             obj = json.loads(line)             if obj.get('type')=='response_item':                 payload = obj.get('payload',{})                 if payload.get('type')=='function_call' and payload.get('name')=='shell':                     args = json.loads(payload.get('arguments','{}') or '{}')                     cmd = args.get('command')                     workdir = args.get('workdir')                     timestamp = obj.get('timestamp')                     records.append((timestamp, path, cmd, workdir))  def parse_ts(ts:str):     if ts is None:         return datetime.min     if ts.endswith('Z'):         ts = ts[:-1] + '+00:00'     return datetime.fromisoformat(ts)  records.sort(key=lambda r: (parse_ts(r[0]), str(r[1]))) with out_path.open('w') as out:     out.write('timestamp_utc\tcommand\tworkdir\tsource_log\n')     for ts,path,cmd,workdir in records:         if isinstance(cmd,list):             cmd_str = ' '.join(cmd)         else:             cmd_str = str(cmd)         cmd_str = cmd_str.replace('\n',' ')         out.write(f"{ts}\t{cmd_str}\t{workdir}\t{path}\n") print(f"wrote {len(records)} commands to {out_path}") PY
bash -lc uv --preview-features extra-build-dependencies sync --project /Users/agi/wenv/mycode_worker	2	2025-11-13T12:16:46.866000+00:00	2025-11-13T12:25:51.057000+00:00	1	1	bash -lc uv --preview-features extra-build-dependencies sync --project /Users/agi/wenv/mycode_worker
bash -lc uv run python src/agilab/apps/install.py src/agilab/apps/flight_project --help	2	2025-11-12T09:26:42.919000+00:00	2025-11-12T09:27:31.919000+00:00	1	1	bash -lc uv run python src/agilab/apps/install.py src/agilab/apps/flight_project --help
zsh -lc brew upgrade --cask codex	2	2025-11-11T07:34:21.200000+00:00	2025-11-11T07:34:27.724000+00:00	1	1	zsh -lc brew upgrade --cask codex
zsh -lc ls	2	2025-11-11T07:42:34.290000+00:00	2025-11-11T07:44:27.095000+00:00	1	1	zsh -lc ls
zsh -lc ls pycharm	2	2025-11-11T07:43:49.719000+00:00	2025-11-11T07:45:54.296000+00:00	2	1	zsh -lc ls pycharm
zsh -lc rg --files -g '*setup-pycharm*'	2	2025-11-11T07:42:42.952000+00:00	2025-11-11T07:42:46.650000+00:00	2	1	zsh -lc rg --files -g '*setup-pycharm*'
zsh -lc rg -n "execute" src/agilab/apps/install.py	2	2025-11-11T08:08:50.712000+00:00	2025-11-11T08:10:44.187000+00:00	1	1	zsh -lc rg -n "execute" src/agilab/apps/install.py
zsh -lc rg -n "log/execute" -n	2	2025-11-11T07:46:27.444000+00:00	2025-11-11T08:08:12.231000+00:00	1	1	zsh -lc rg -n "log/execute" -n
/bin/bash -lc cd /Users/agi/PycharmProjects/thales_agilab && git diff --stat	1	2025-11-13T16:40:38.766000+00:00	2025-11-13T16:40:38.766000+00:00	1	1	/bin/bash -lc cd /Users/agi/PycharmProjects/thales_agilab && git diff --stat
/bin/zsh -lc /bin/bash -lc 'VAR="abc"_; echo "'$VAR'"'	1	2025-11-06T14:25:16.696000+00:00	2025-11-06T14:25:16.696000+00:00	1	1	/bin/zsh -lc /bin/bash -lc 'VAR="abc"_; echo "'$VAR'"'
